,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,75.2,69,75,13.87,TO,1599438878
1,zhigansk,66.77,123.37,47.43,75,100,19.04,RU,1599439413
2,hithadhoo,-0.6,73.08,82.15,76,100,11.23,MV,1599439413
3,cabedelo,-6.98,-34.83,71.6,88,23,3.36,BR,1599439413
4,jamestown,42.1,-79.24,68.0,67,1,4.7,US,1599439414
5,ushuaia,-54.8,-68.3,39.2,80,0,9.17,AR,1599438884
6,georgetown,5.41,100.34,78.8,94,20,3.36,MY,1599439414
7,mataura,-46.19,168.86,55.56,53,100,3.53,NZ,1599439092
8,punta arenas,8.99,125.34,86.52,66,45,3.2,PH,1599439093
9,calvia,39.57,2.51,77.0,69,32,3.36,ES,1599439415
10,nikolskoye,59.7,30.79,53.6,81,14,2.24,RU,1599439415
11,mlandizi,-6.7,38.73,68.23,91,18,3.42,TZ,1599439415
12,urumqi,43.8,87.6,64.4,59,82,4.47,CN,1599439415
13,port alfred,-7.03,29.76,72.86,53,97,2.8,CD,1599439087
14,hilo,19.73,-155.09,84.2,62,90,10.29,US,1599439416
15,castro,-24.79,-50.01,64.22,56,0,4.52,BR,1599439085
16,tasiilaq,65.61,-37.64,35.6,93,83,9.17,GL,1599439416
17,khatanga,71.97,102.5,46.31,66,12,3.76,RU,1599439417
18,tiksi,71.69,128.87,44.53,84,82,5.7,RU,1599439417
19,kashan,33.98,51.44,74.5,19,0,2.75,IR,1599439417
20,batagay,67.63,134.63,46.2,80,100,5.7,RU,1599439090
21,krasnokholm,51.6,54.16,53.19,59,48,3.89,RU,1599439417
22,mansa,29.98,75.38,79.74,77,0,2.77,IN,1599439418
23,korla,41.76,86.15,73.02,32,8,8.5,CN,1599439146
24,busselton,-33.65,115.33,53.01,88,12,1.01,AU,1599439418
25,college,64.86,-147.8,64.4,36,75,13.87,US,1599439418
26,airai,-8.93,125.41,72.12,43,11,6.33,TL,1599439419
27,natchez,31.56,-91.4,82.4,74,1,3.11,US,1599439419
28,qaanaaq,77.48,-69.36,21.97,82,0,4.74,GL,1599439084
29,alyangula,-13.85,136.42,86.0,58,40,12.75,AU,1599439419
30,palimbang,6.21,124.19,86.54,63,21,1.57,PH,1599439419
31,hermanus,-34.42,19.23,55.0,83,6,1.99,ZA,1599439420
32,masallatah,32.62,14.0,75.85,76,38,21.47,LY,1599439420
33,muhos,64.81,25.99,48.2,100,100,4.7,FI,1599439420
34,ewo,-0.87,14.82,72.86,86,100,4.12,CG,1599439420
35,srednekolymsk,67.45,153.68,50.79,78,100,2.01,RU,1599439421
36,hobart,-42.88,147.33,66.99,48,100,10.29,AU,1599439047
37,nanortalik,60.14,-45.24,44.37,94,100,7.49,GL,1599439421
38,cape town,-36.41,-71.9,53.6,81,0,5.82,CL,1599439421
39,carnarvon,-24.87,113.63,68.0,100,75,5.82,AU,1599439227
40,roros,62.57,11.38,42.8,100,0,3.36,NO,1599439422
41,sao filipe,20.51,76.21,73.35,90,100,3.83,IN,1599439315
42,namatanai,-3.67,152.43,84.7,71,14,7.05,PG,1599439422
43,arraial do cabo,-22.84,-46.65,75.2,31,0,8.05,BR,1599439422
44,mys shmidta,62.06,48.62,52.75,95,100,5.77,RU,1599439423
45,vero beach,42.06,8.93,66.2,82,40,6.93,FR,1599439423
46,nacala,-14.54,40.67,65.44,82,0,7.52,MZ,1599439423
47,yaan,7.38,8.57,72.25,96,99,5.99,NG,1599439423
48,luau,-10.71,22.22,66.78,27,0,4.72,AO,1599439424
49,rikitea,-23.12,-134.97,73.65,84,0,11.23,PF,1599438881
50,port elizabeth,-7.03,29.76,72.54,52,27,5.21,CD,1599439252
51,umarizal,-5.99,-37.81,75.65,58,0,11.61,BR,1599439344
52,ponta do sol,38.73,-28.27,65.52,81,100,22.77,PT,1599439424
53,nauta,-4.51,-73.58,79.32,72,0,1.21,PE,1599439424
54,myanaung,18.28,95.32,79.29,86,100,2.26,MM,1599439425
55,cherskiy,68.75,161.3,49.78,49,98,12.77,RU,1599439425
56,iquitos,-3.75,-73.25,78.8,83,0,4.7,PE,1599439425
57,pyaozerskiy,65.83,31.17,48.45,93,75,4.92,RU,1599439425
58,atuona,-9.8,-139.03,79.2,72,72,17.16,PF,1599439425
59,provideniya,64.38,-173.3,42.8,70,75,24.61,RU,1599439426
60,yellowknife,62.46,-114.35,50.0,53,40,6.93,CA,1599439042
61,albany,42.6,-73.97,68.0,69,2,1.57,US,1599438971
62,kieta,-6.22,155.63,83.26,72,13,3.29,PG,1599439426
63,sisimiut,66.94,-53.67,39.11,73,25,13.13,GL,1599439426
64,vanavara,60.34,102.28,50.23,72,100,1.05,RU,1599439427
65,upernavik,72.79,-56.15,35.28,87,100,12.93,GL,1599439427
66,kapaa,22.08,-159.32,84.0,69,90,14.99,US,1599438889
67,amberley,39.2,-84.43,75.0,69,1,8.19,US,1599439427
68,flinders,-34.58,150.86,68.0,49,0,8.05,AU,1599439428
69,faya,18.39,42.45,68.0,34,0,2.84,SA,1599439428
70,mar del plata,43.4,-4.01,66.2,68,90,4.7,ES,1599439085
71,husavik,66.04,-17.34,55.4,71,90,8.05,IS,1599439428
72,mahebourg,-20.41,57.7,68.0,94,75,6.93,MU,1599439089
73,tabuk,17.42,121.44,83.08,73,68,0.54,PH,1599439428
74,cayenne,4.93,-52.33,78.8,88,14,10.74,GF,1599439429
75,esperance,-33.87,121.9,50.0,100,90,13.87,AU,1599439429
76,stornoway,58.21,-6.39,55.4,93,100,26.4,GB,1599439132
77,klaksvik,62.23,-6.59,51.8,100,100,16.11,FO,1599439429
78,east london,65.0,-15.0,51.8,81,20,16.11,IS,1599439429
79,nome,64.5,-165.41,55.4,43,75,23.04,US,1599439430
80,norman wells,35.22,-97.44,87.8,48,1,13.87,US,1599439087
81,bambous virieux,-20.26,57.41,68.0,94,75,6.93,MU,1599439430
82,venado tuerto,22.93,-101.08,63.1,80,100,5.82,MX,1599439430
83,maku,39.29,44.45,71.98,24,0,6.87,IR,1599439430
84,tyukhtet,56.54,89.3,45.01,83,99,3.71,RU,1599439430
85,grand centre,38.88,-109.5,100.4,6,1,9.17,US,1599439265
86,bluff,-46.6,168.33,51.78,70,89,13.42,NZ,1599439431
87,mersing,2.43,103.84,73.4,100,20,4.7,MY,1599439211
88,asyut,27.18,31.18,77.0,47,0,11.41,EG,1599439431
89,mangalam,9.77,78.67,77.0,88,20,5.37,IN,1599439432
90,kodiak,57.79,-152.41,55.4,93,90,14.99,US,1599439432
91,namibe,-15.2,12.15,68.31,86,63,2.21,AO,1599439432
92,oranjemund,-28.55,16.43,55.87,85,0,13.51,NA,1599439432
93,neiafu,-18.65,-173.98,77.0,61,40,13.87,TO,1599439433
94,ewa beach,-8.62,122.51,78.78,65,100,3.22,ID,1599439433
95,new norfolk,6.65,-10.59,77.0,94,40,2.57,LR,1599439264
96,soyo,-6.13,12.37,72.75,89,51,9.33,AO,1599439433
97,mongo,12.18,18.69,71.47,89,100,2.84,TD,1599439434
98,laguna,38.42,-121.42,109.4,12,1,6.93,US,1599439434
99,bakchar,57.02,82.07,41.07,94,92,4.54,RU,1599439434
100,butaritari,3.07,172.79,83.75,72,100,14.97,KI,1599439434
101,lavrentiya,65.58,-171.0,44.74,68,100,21.52,RU,1599439435
102,port macquarie,-7.03,29.76,72.86,53,97,2.8,CD,1599439277
103,tuktoyaktuk,69.45,-133.04,44.6,58,20,13.87,CA,1599438917
104,margate,51.38,1.39,61.0,79,77,5.95,GB,1599439435
105,alofi,-19.06,-169.92,75.2,53,75,19.46,NU,1599439436
106,praia,14.92,-23.51,78.8,83,20,3.36,CV,1599439436
107,faanui,-16.48,-151.75,78.19,76,9,11.21,PF,1599438930
108,san patricio,13.3,-4.9,73.63,87,100,5.08,ML,1599439269
109,jatai,-17.88,-51.71,72.45,29,1,3.89,BR,1599439436
110,kalat,29.02,66.59,60.22,30,0,0.56,PK,1599439436
111,petropavlovsk-kamchatskiy,53.05,158.65,60.8,77,40,2.24,RU,1599439437
112,portland,45.52,-122.68,89.6,33,20,6.93,US,1599439107
113,banjar,-8.19,114.97,80.6,100,20,10.29,ID,1599439437
114,waslala,13.23,-85.38,73.69,92,100,3.0,NI,1599439437
115,lompoc,34.64,-120.46,88.0,37,1,11.41,US,1599439437
116,richards bay,46.84,-95.91,64.4,36,51,18.34,US,1599439438
117,dolinsk,47.35,142.8,73.4,73,77,2.24,RU,1599439438
118,umarkhed,19.6,77.7,76.44,89,68,1.63,IN,1599439438
119,souillac,-20.52,57.52,68.0,94,75,6.93,MU,1599439438
120,buraydah,26.33,43.98,80.6,26,0,2.24,SA,1599439439
121,gamba,-2.65,10.0,73.98,82,100,6.38,GA,1599439439
122,ribeira grande,42.75,-8.44,61.0,82,0,5.82,ES,1599439439
123,ilulissat,69.22,-51.1,37.4,97,88,13.87,GL,1599439439
124,santa eulalia del rio,17.49,120.43,84.65,73,4,3.78,PH,1599439439
125,kaitangata,-46.28,169.85,57.0,52,100,4.0,NZ,1599439440
126,dalby,-27.18,151.27,68.0,52,40,19.46,AU,1599439440
127,fairbanks,64.84,-147.72,64.4,34,20,10.29,US,1599439236
128,pitimbu,-7.47,-34.81,71.6,88,0,3.36,BR,1599439440
129,port blair,-7.03,29.76,72.54,52,27,5.21,CD,1599439252
130,nelson bay,-41.28,173.28,57.99,54,0,1.99,NZ,1599439249
131,puerto ayora,36.59,-6.23,75.2,60,0,4.7,ES,1599439399
132,nizhniy odes,45.39,39.24,69.01,94,40,6.71,RU,1599439441
133,tazmalt,36.39,4.4,71.6,78,20,4.7,DZ,1599439441
134,hasaki,35.73,140.83,88.0,84,75,14.99,JP,1599439441
135,kamaishi,39.27,141.88,80.6,83,75,10.29,JP,1599439442
136,dikson,73.51,80.55,41.94,80,79,20.98,RU,1599439442
137,saint-philippe,-21.36,55.77,73.4,72,46,4.7,RE,1599439442
138,bathsheba,13.22,-59.52,82.4,78,40,11.41,BB,1599439442
139,camacha,33.08,-16.33,69.8,83,20,3.36,PT,1599439443
140,hobyo,5.35,48.53,75.69,81,5,20.74,SO,1599439443
141,kharan,28.58,65.42,77.43,17,0,5.03,PK,1599439443
142,san miguel el alto,13.3,-4.9,75.83,87,100,5.75,ML,1599439249
143,garissa,-0.45,39.64,71.33,80,18,11.52,KE,1599439443
144,kirovsk,48.64,38.64,59.43,33,0,6.02,UA,1599439444
145,dawlatabad,36.41,64.91,58.46,30,0,4.25,AF,1599439444
146,alice springs,27.75,-98.07,84.2,66,1,4.7,US,1599439444
147,rundu,-17.93,19.77,57.87,36,0,4.79,NA,1599439444
148,talnakh,69.49,88.4,46.4,93,75,4.47,RU,1599439445
149,victoria,22.29,114.16,82.99,83,77,5.37,HK,1599439224
150,buala,-8.14,159.59,85.5,68,50,7.16,SB,1599439445
151,palmer,42.16,-72.33,69.01,82,20,4.36,US,1599439445
152,felanitx,39.47,3.15,75.2,73,75,5.82,ES,1599439445
153,kokkola,63.84,23.13,54.0,100,40,6.93,FI,1599439446
154,avera,33.19,-82.53,75.2,50,75,4.7,US,1599439446
155,sulangan,11.14,123.72,85.3,71,100,5.61,PH,1599439446
156,sitka,57.05,-135.33,62.6,72,75,3.36,US,1599439090
157,thompson,55.74,-97.86,46.4,61,75,18.34,CA,1599439185
158,grand river south east,38.88,-109.5,100.4,6,1,9.17,US,1599439265
159,bandarbeyla,9.49,50.81,75.6,77,100,24.65,SO,1599439446
160,necochea,-38.55,-58.74,37.99,92,0,4.0,AR,1599439447
161,kvarkeno,52.08,59.73,49.21,86,0,5.73,RU,1599439447
162,sioux lookout,42.73,-96.23,86.0,39,1,8.05,US,1599439447
163,isla mujeres,15.89,120.3,83.59,75,94,3.15,PH,1599439448
164,ginda,30.69,78.49,73.4,94,12,3.31,IN,1599439448
165,bredasdorp,-34.53,20.04,46.4,93,0,1.12,ZA,1599439448
166,arona,28.1,-16.68,73.4,83,20,6.93,ES,1599439448
167,okhotsk,59.38,143.3,52.36,94,100,7.36,RU,1599439449
168,barrow,71.29,-156.79,41.0,80,75,10.29,US,1599439091
169,avarua,-21.21,-159.78,73.4,64,83,8.05,CK,1599439230
170,kisangani,0.52,25.2,69.8,96,72,0.07,CD,1599439449
171,longyearbyen,78.22,15.64,39.2,86,75,6.93,SJ,1599439028
172,grindavik,63.84,-22.43,50.0,100,90,18.34,IS,1599439449
173,saurimo,-9.66,20.39,66.7,28,58,3.67,AO,1599439450
174,xingyi,24.19,102.82,62.83,89,100,1.79,CN,1599439450
175,ancud,-41.87,-73.82,46.0,88,0,1.99,CL,1599439450
176,surt,31.21,16.59,76.66,81,0,13.78,LY,1599439451
177,luderitz,-26.65,15.16,57.56,72,0,14.07,NA,1599439451
178,guerrero negro,17.67,-100.0,69.85,81,100,0.96,MX,1599439451
179,itarema,-2.92,-39.92,78.15,80,2,13.89,BR,1599439451
180,tongren,27.72,109.19,71.46,82,73,1.61,CN,1599439452
181,cooma,-36.23,149.13,62.6,39,0,9.17,AU,1599439452
182,hualmay,-11.1,-77.61,60.1,84,100,9.19,PE,1599439452
183,severo-kurilsk,50.68,156.12,58.03,87,100,6.85,RU,1599439087
184,omsukchan,62.53,155.8,40.14,85,100,6.55,RU,1599439452
185,madang,-5.22,145.8,85.24,67,3,5.3,PG,1599439453
186,arlit,18.74,7.39,92.62,25,0,5.28,NE,1599439453
187,kununurra,-15.77,128.73,84.2,33,100,4.7,AU,1599439343
188,timoteo,-19.58,-42.64,65.93,58,0,1.74,BR,1599439453
189,bengkulu,-3.8,102.27,78.64,83,16,6.53,ID,1599439454
190,manapparai,10.6,78.42,77.0,88,20,5.82,IN,1599439454
191,katsuura,35.13,140.3,87.01,88,75,10.29,JP,1599439454
192,chokurdakh,70.63,147.92,50.25,49,9,9.48,RU,1599439454
193,kahului,20.89,-156.47,89.6,43,40,21.92,US,1599439455
194,cockburn town,-32.08,141.0,69.8,26,0,16.11,AU,1599439455
195,salisbury,51.07,-1.8,51.8,100,87,3.36,GB,1599439292
196,linxia,35.6,103.21,62.73,50,0,1.86,CN,1599439455
197,aklavik,68.22,-135.01,50.0,57,20,6.93,CA,1599439455
198,constitucion,-35.33,-72.42,50.92,83,0,7.07,CL,1599439455
199,uvarovo,51.98,42.26,57.11,38,98,5.06,RU,1599439456
200,north bend,50.33,3.67,50.0,93,0,2.24,FR,1599439456
201,sassandra,4.95,-6.08,75.16,88,99,8.16,CI,1599439456
202,lebu,-37.62,-73.65,48.7,87,2,8.97,CL,1599439456
203,bayir,37.27,28.22,66.2,77,0,2.24,TR,1599439457
204,saskylakh,71.92,114.08,46.63,68,41,6.89,RU,1599439089
205,port hueneme,-7.03,29.76,72.86,53,97,2.8,CD,1599439277
206,cajnice,43.56,19.07,64.4,63,0,1.12,BA,1599439457
207,queanbeyan,-35.35,149.23,60.01,71,0,1.99,AU,1599439457
208,tifton,31.45,-83.51,81.0,74,40,3.36,US,1599439458
209,gat,31.61,34.76,79.0,83,20,2.24,IL,1599439194
210,coquimbo,-29.95,-71.34,55.4,76,90,5.82,CL,1599439458
211,kruisfontein,-34.0,24.73,51.42,95,0,2.73,ZA,1599439459
212,mokhotlong,-29.29,29.07,48.45,71,100,2.21,LS,1599439459
213,artyom,40.47,50.33,68.0,100,40,4.7,AZ,1599439459
214,dicabisagan,17.08,122.42,86.32,68,88,6.11,PH,1599439459
215,liepaja,56.54,21.04,57.2,82,100,3.36,LV,1599439459
216,torbay,47.67,-52.73,59.0,71,20,10.29,CA,1599439460
217,paamiut,61.99,-49.67,44.17,93,88,10.83,GL,1599439460
218,port moresby,-7.03,29.76,72.86,53,97,2.8,CD,1599439276
219,bethel,41.37,-73.41,71.6,73,90,4.21,US,1599439460
220,belaya gora,49.03,25.77,63.0,81,4,3.0,UA,1599439460
221,oranjestad,12.52,-70.03,84.2,79,20,14.99,AW,1599439461
222,paita,-5.09,-81.11,62.74,81,0,12.77,PE,1599439461
223,waddan,29.16,16.14,73.54,59,0,8.86,LY,1599439461
224,khatassy,61.9,129.64,50.0,76,75,8.95,RU,1599439461
225,poum,-20.23,164.02,73.33,77,100,7.56,NC,1599439462
226,grenaa,56.42,10.88,51.8,87,23,10.29,DK,1599439462
227,brae,60.4,-1.35,51.8,76,100,16.11,GB,1599439462
228,nha trang,27.91,86.72,43.99,67,100,2.71,NP,1599439462
229,tambura,5.6,27.47,66.97,98,97,4.12,SS,1599439463
230,maceio,-9.67,-35.74,69.8,88,0,9.22,BR,1599439217
231,bell ville,31.05,-97.47,89.6,49,1,6.93,US,1599439463
232,daru,-9.08,143.21,79.47,84,74,18.16,PG,1599439463
233,rehoboth,-23.32,17.08,61.5,32,0,3.09,NA,1599439463
234,iqaluit,63.75,-68.51,44.6,68,75,12.75,CA,1599439086
235,haapsalu,58.94,23.54,53.01,88,56,4.0,EE,1599439464
236,kyra,49.58,111.98,57.43,73,0,3.69,RU,1599439464
237,codrington,-38.27,141.97,63.09,61,100,21.61,AU,1599439464
238,pevek,69.7,170.31,43.99,68,9,13.85,RU,1599439465
239,kualakapuas,-3.01,114.39,78.8,88,20,3.36,ID,1599439465
240,oskarshamn,57.26,16.45,53.01,93,0,4.7,SE,1599439465
241,olafsvik,64.89,-23.71,50.16,90,100,22.08,IS,1599439465
242,pangnirtung,66.15,-65.71,39.9,72,82,2.24,CA,1599439466
243,sur,22.57,59.53,82.53,61,0,7.74,OM,1599439466
244,zhangye,38.93,100.45,72.81,30,1,6.76,CN,1599439466
245,paralimni,35.04,33.98,79.0,78,0,5.82,CY,1599439171
246,marsh harbour,53.65,-1.81,53.01,100,75,4.7,GB,1599439467
247,waverley,-25.7,28.26,53.6,66,58,1.12,ZA,1599439467
248,leningradskiy,69.38,178.42,45.86,60,0,9.78,RU,1599439467
249,san joaquin,13.3,-4.9,73.63,87,100,5.08,ML,1599439269
250,verkhnetulomskiy,68.61,31.8,51.8,81,40,4.47,RU,1599439468
251,dolores,-36.31,-57.68,39.07,89,0,5.55,AR,1599439468
252,poso,-1.4,120.75,85.77,58,58,4.25,ID,1599439468
253,udachnyy,66.42,112.4,30.2,100,90,6.71,RU,1599439468
254,khandyga,62.67,135.6,51.17,94,100,2.17,RU,1599439469
255,rio grande,38.3,21.78,68.0,82,0,0.78,GR,1599439336
