,City,Country,Lat,Lng,Hotel Name
0,vaini,TO,-21.2,-175.2,
1,zhigansk,RU,66.77,123.37,
2,hithadhoo,MV,-0.6,73.08,
3,cabedelo,BR,-6.98,-34.83,
4,jamestown,US,42.1,-79.24,
5,ushuaia,AR,-54.8,-68.3,
6,georgetown,MY,5.41,100.34,
7,mataura,NZ,-46.19,168.86,
8,punta arenas,PH,8.99,125.34,
9,calvia,ES,39.57,2.51,
10,nikolskoye,RU,59.7,30.79,
11,mlandizi,TZ,-6.7,38.73,
12,urumqi,CN,43.8,87.6,
13,port alfred,CD,-7.03,29.76,
14,hilo,US,19.73,-155.09,
15,castro,BR,-24.79,-50.01,
16,tasiilaq,GL,65.61,-37.64,
17,khatanga,RU,71.97,102.5,
18,tiksi,RU,71.69,128.87,
19,kashan,IR,33.98,51.44,
20,batagay,RU,67.63,134.63,
21,krasnokholm,RU,51.6,54.16,
22,mansa,IN,29.98,75.38,
23,korla,CN,41.76,86.15,
24,busselton,AU,-33.65,115.33,
25,college,US,64.86,-147.8,
26,airai,TL,-8.93,125.41,
27,natchez,US,31.56,-91.4,
28,qaanaaq,GL,77.48,-69.36,
29,alyangula,AU,-13.85,136.42,
30,palimbang,PH,6.21,124.19,
31,hermanus,ZA,-34.42,19.23,
32,masallatah,LY,32.62,14.0,
33,muhos,FI,64.81,25.99,
34,ewo,CG,-0.87,14.82,
35,srednekolymsk,RU,67.45,153.68,
36,hobart,AU,-42.88,147.33,
37,nanortalik,GL,60.14,-45.24,
38,cape town,CL,-36.41,-71.9,
39,carnarvon,AU,-24.87,113.63,
40,roros,NO,62.57,11.38,
41,sao filipe,IN,20.51,76.21,
42,namatanai,PG,-3.67,152.43,
43,arraial do cabo,BR,-22.84,-46.65,
44,mys shmidta,RU,62.06,48.62,
45,vero beach,FR,42.06,8.93,
46,nacala,MZ,-14.54,40.67,
47,yaan,NG,7.38,8.57,
48,luau,AO,-10.71,22.22,
49,rikitea,PF,-23.12,-134.97,
50,port elizabeth,CD,-7.03,29.76,
51,umarizal,BR,-5.99,-37.81,
52,ponta do sol,PT,38.73,-28.27,
53,nauta,PE,-4.51,-73.58,
54,myanaung,MM,18.28,95.32,
55,cherskiy,RU,68.75,161.3,
56,iquitos,PE,-3.75,-73.25,
57,pyaozerskiy,RU,65.83,31.17,
58,atuona,PF,-9.8,-139.03,
59,provideniya,RU,64.38,-173.3,
60,yellowknife,CA,62.46,-114.35,
61,albany,US,42.6,-73.97,
62,kieta,PG,-6.22,155.63,
63,sisimiut,GL,66.94,-53.67,
64,vanavara,RU,60.34,102.28,
65,upernavik,GL,72.79,-56.15,
66,kapaa,US,22.08,-159.32,
67,amberley,US,39.2,-84.43,
68,flinders,AU,-34.58,150.86,
69,faya,SA,18.39,42.45,
70,mar del plata,ES,43.4,-4.01,
71,husavik,IS,66.04,-17.34,
72,mahebourg,MU,-20.41,57.7,
73,tabuk,PH,17.42,121.44,
74,cayenne,GF,4.93,-52.33,
75,esperance,AU,-33.87,121.9,
76,stornoway,GB,58.21,-6.39,
77,klaksvik,FO,62.23,-6.59,
78,east london,IS,65.0,-15.0,
79,nome,US,64.5,-165.41,
80,norman wells,US,35.22,-97.44,
81,bambous virieux,MU,-20.26,57.41,
82,venado tuerto,MX,22.93,-101.08,
83,maku,IR,39.29,44.45,
84,tyukhtet,RU,56.54,89.3,
85,grand centre,US,38.88,-109.5,
86,bluff,NZ,-46.6,168.33,
87,mersing,MY,2.43,103.84,
88,asyut,EG,27.18,31.18,
89,mangalam,IN,9.77,78.67,
90,kodiak,US,57.79,-152.41,
91,namibe,AO,-15.2,12.15,
93,neiafu,TO,-18.65,-173.98,
94,ewa beach,ID,-8.62,122.51,
95,new norfolk,LR,6.65,-10.59,
96,soyo,AO,-6.13,12.37,
97,mongo,TD,12.18,18.69,
98,laguna,US,38.42,-121.42,
99,bakchar,RU,57.02,82.07,
100,butaritari,KI,3.07,172.79,
101,lavrentiya,RU,65.58,-171.0,
102,port macquarie,CD,-7.03,29.76,
103,tuktoyaktuk,CA,69.45,-133.04,
104,margate,GB,51.38,1.39,
105,alofi,NU,-19.06,-169.92,
106,praia,CV,14.92,-23.51,
107,faanui,PF,-16.48,-151.75,
108,san patricio,ML,13.3,-4.9,
109,jatai,BR,-17.88,-51.71,
110,kalat,PK,29.02,66.59,
111,petropavlovsk-kamchatskiy,RU,53.05,158.65,
112,portland,US,45.52,-122.68,
113,banjar,ID,-8.19,114.97,
114,waslala,NI,13.23,-85.38,
115,lompoc,US,34.64,-120.46,
116,richards bay,US,46.84,-95.91,
117,dolinsk,RU,47.35,142.8,
118,umarkhed,IN,19.6,77.7,
119,souillac,MU,-20.52,57.52,
